,Hotel Name,Hotel City,Hotel Country,Hotel Phone,Hotel Website,Hotel Email,Hotel Latitude,Hotel Longitude,Weather,City_Id,Temperature
0,SF Al-dawood Restaurant,Dalbandin,Pakistan,phone not provided,website not provided,email not provided,28.8852121,64.4016155,clear sky,0,54.39
1,Hotel Chathams,Waitangi,New Zealand,+64 3 305 0048,http://www.hotelchatham.co.nz,http://www.hotelchatham.co.nz,-43.9509492,-176.5607157,broken clouds,5,59.83
2,Savoy,Kouga Local Municipality,South Africa,phone not provided,website not provided,email not provided,-34.0532815,24.9223697,overcast clouds,13,65.88
3,Oyster Bay Lodge,Kouga Local Municipality,South Africa,+27 42 297 0150,http://www.oysterbaylodge.co.za/,http://www.oysterbaylodge.co.za/,-34.1610892,24.6358804,overcast clouds,13,65.88
4,فندق تاسيلي,Al-Fewat,Libya,phone not provided,website not provided,email not provided,24.9612991,10.1743971,broken clouds,18,56.7
5,La Tour de Toile,Ouled Msafar,Morocco,phone not provided,website not provided,email not provided,30.4684023,-9.061351838303572,clear sky,19,56.55
6,Hôtel Targante,Biougra,Morocco,+212 5 28 81 01 27,website not provided,email not provided,30.2157482,-9.357822112109126,clear sky,19,56.55
7,فندق اوباري,Awbari,Libya,phone not provided,website not provided,email not provided,26.5965593,12.766073,clear sky,21,53.92
8,The Grand,Invercargill City,New Zealand,+64 22 123 4276,http://www.thegrandinvercargill.co.nz,http://www.thegrandinvercargill.co.nz,-46.4105337,168.3469528,clear sky,26,66.34
9,Victoria Railway Hotel,Invercargill City,New Zealand,phone not provided,website not provided,email not provided,-46.4115971,168.3458183,clear sky,26,66.34
10,Queens Hotel,Lukhanji Local Municipality,South Africa,phone not provided,website not provided,email not provided,-31.8983005,26.8810973,overcast clouds,35,55.0
11,Silvestre Praia Hotel,Imbituba,Brazil,phone not provided,website not provided,email not provided,-28.2432812,-48.6644712,clear sky,47,67.73
12,Henrique Lage,Imbituba,Brazil,phone not provided,website not provided,email not provided,-28.2406074,-48.6633451,clear sky,47,67.73
13,Henrique Lage,Álamos,Mexico,phone not provided,website not provided,email not provided,27.0199129,-108.9343394,clear sky,50,69.19
14,Henrique Lage,Álamos,Mexico,phone not provided,website not provided,email not provided,27.0199106,-108.9346532,clear sky,50,69.19
15,Villa Howden,Hobart,Australia,phone not provided,website not provided,email not provided,-43.0097946,147.27947946462487,broken clouds,51,67.53
16,Villa Howden,Hobart,Australia,phone not provided,website not provided,email not provided,-43.010003049999995,147.27936896428628,broken clouds,51,67.53
17,Fountain Hall Guest Farm,Mpofana Local Municipality,South Africa,phone not provided,website not provided,email not provided,-29.2606637,29.9766877,overcast clouds,56,50.92
18,Willow Grange Hotel,Umtshezi Local Municipality,South Africa,phone not provided,website not provided,email not provided,-29.0677368,29.9556506,overcast clouds,56,50.92
19,54 on Bank,Port Fairy,Australia,phone not provided,website not provided,email not provided,-38.3827044,142.2331771,overcast clouds,60,62.67
20,Douglas Riverside,Port Fairy,Australia,phone not provided,website not provided,email not provided,-38.382692,142.240172,overcast clouds,60,62.67
21,Cabañas,Ancud,Chile,phone not provided,website not provided,email not provided,-41.87020295,-73.82567887114084,scattered clouds,70,59.32
22,Balai,Ancud,Chile,phone not provided,website not provided,email not provided,-41.8678431,-73.8282002,scattered clouds,70,59.32
23,Balai,Ndlambe Local Municipality,South Africa,phone not provided,website not provided,email not provided,-33.5939104,26.8936287,light rain,74,62.19
24,Ferryman,Ndlambe Local Municipality,South Africa,phone not provided,website not provided,email not provided,-33.6009114,26.8948725,light rain,74,62.19
25,Bon Hotel Waterfront,Richards Bay,South Africa,phone not provided,website not provided,email not provided,-28.7932035,32.0808188,few clouds,78,63.32
