City_ID,City Name,Country,City Lat,City Lon,Max Temp,Wind,Date,Humidity,Cloudiness,Description
0,Mwinilunga,ZM,-11.7358,24.4293,17.11,2.84,1703717228,99,97,light rain
1,Labytnangi,RU,66.6572,66.4183,-10.12,8.48,1703717228,94,100,light snow
2,Adamstown,PN,-25.066,-130.1015,22.78,7.53,1703717229,74,100,overcast clouds
3,Igarka,RU,67.4667,86.5833,-23.81,2.74,1703717229,95,53,broken clouds
4,Vilyuchinsk,RU,52.9306,158.4028,-7.82,3.54,1703717229,93,100,light snow
5,Hede,CN,33.7681,120.2517,3.62,1.43,1703717229,94,1,clear sky
6,Grytviken,GS,-54.2811,-36.5092,2.13,5.88,1703717229,98,100,light rain
7,Port-aux-Français,TF,-49.35,70.2167,6.74,3.0,1703717230,99,100,moderate rain
8,Iqaluit,CA,63.7506,-68.5145,-13.5,8.94,1703717230,78,94,overcast clouds
9,Blackmans Bay,AU,-43.0167,147.3167,19.07,2.45,1703717230,78,62,broken clouds
10,Ushuaia,AR,-54.8,-68.3,4.16,7.18,1703717225,88,93,overcast clouds
11,Rémire-Montjoly,GF,4.9167,-52.2667,26.02,2.06,1703717231,94,100,overcast clouds
12,Nemuro,JP,43.3236,145.575,-3.76,6.41,1703717231,65,29,scattered clouds
13,Taoudenni,ML,22.6783,-3.9836,21.48,5.4,1703717231,10,0,clear sky
14,Mount Gambier,AU,-37.8333,140.7667,17.61,3.22,1703717232,65,95,overcast clouds
15,Lā‘ie,US,21.6477,-157.9253,27.98,4.75,1703717232,66,42,scattered clouds
16,Punta Arenas,CL,-53.15,-70.9167,9.06,12.35,1703717232,66,40,scattered clouds
17,Jiazi,CN,22.8779,116.067,17.54,4.91,1703717232,82,100,overcast clouds
18,Saint Paul Harbor,US,57.79,-152.4072,-0.39,3.99,1703717232,79,100,overcast clouds
19,Badger,US,64.8,-147.5333,-22.58,0.0,1703717233,81,20,few clouds
20,Sonoita,MX,31.85,-112.8333,19.18,2.1,1703717233,17,46,scattered clouds
21,Weno,FM,7.4515,151.8468,27.97,2.57,1703717233,89,40,scattered clouds
22,Avarua,CK,-21.2078,-159.775,27.03,7.72,1703717233,65,20,few clouds
23,São José da Coroa Grande,BR,-8.8978,-35.1478,26.6,4.12,1703717233,79,68,broken clouds
24,Beyneu,KZ,45.3167,55.2,8.0,7.57,1703717234,69,100,overcast clouds
25,Cabedelo,BR,-6.9811,-34.8339,26.9,4.7,1703717234,76,86,overcast clouds
26,San Juan Pueblo,HN,15.5833,-87.2333,28.42,1.37,1703717234,91,31,scattered clouds
27,Lincoln City,US,44.9582,-124.0179,13.83,4.92,1703716949,88,97,overcast clouds
28,Novyy Urgal,RU,51.0736,132.5642,-33.98,0.43,1703717235,100,69,broken clouds
29,Utrik,MH,11.2278,169.8474,27.47,7.81,1703717235,85,5,clear sky
30,Waitangi,NZ,-43.9535,-176.5597,12.75,4.76,1703717235,62,74,broken clouds
