City Name,Country,City Lat,City Lon,Humidity,Hotel Name,Hotel Address
Mwinilunga,ZM,-11.7358,24.4293,99,name not found,address not found
Blackmans Bay,AU,-43.0167,147.3167,78,Villa Howden,"Howden Road, Hobart TAS 7055, Australia"
Taoudenni,ML,22.6783,-3.9836,10,name not found,address not found
Mount Gambier,AU,-37.8333,140.7667,65,The Old Mount Gambier Gaol,"Langlois Place, Mount Gambier SA 5290, Australia"
Jiazi,CN,22.8779,116.067,82,name not found,address not found
Sonoita,MX,31.85,-112.8333,17,name not found,address not found
Lincoln City,US,44.9582,-124.0179,88,Inn at Lincoln City,"1091 Southeast 1st Street, Lincoln City, OR 97367, United States of America"
Waitangi,NZ,-43.9535,-176.5597,62,Hotel Chathams,"1 Waitangi Wharf Owenga Road, Waitangi 8942, New Zealand"
Māngrol,IN,21.1167,70.1167,42,name not found,address not found
Marsá Maţrūḩ,EG,31.3525,27.2453,77,صقور,"Alexandria Street, Madara, Marsa Matruh, 51511, Egypt"
Papatowai,NZ,-46.5619,169.4708,66,name not found,address not found
Port Lincoln,AU,-34.7333,135.8667,77,Boston Hotel,"19-21 King Street, Port Lincoln SA 5606, Australia"
Edinburgh of the Seven Seas,SH,-37.0676,-12.3116,93,name not found,address not found
Tamanghasset,DZ,22.785,5.5228,17,فندق الأمان,"شارع الجيلالي بونعامة, 11000 Tamanghasset, Algeria"
Chikitigarh,IN,19.2,84.6167,88,name not found,address not found
Gouré,NE,13.9835,10.2704,27,name not found,address not found
Katsuura,JP,35.1333,140.3,82,潮騒の宿,"16 勝浦港線, Hamakatsuura, Katsuura, 299-5233, Japan"
Praia da Vitória,PT,38.7333,-27.0667,87,Salles,"Travessa do Quartel, 9760-411 Praia da Vitória, Portugal"
Chongwe,ZM,-15.3292,28.682,94,name not found,address not found
Dwārka,IN,22.2394,68.9678,51,The Dwarika Hotel,"NH51, Devbhumi Dwarka - 361335, Gujarat, India"
Bredasdorp,ZA,-34.5322,20.0403,83,Victoria Hotel,"10 Church Street, Cape Agulhas Ward 4, Cape Agulhas Local Municipality, 7280, South Africa"
Hermanus,ZA,-34.4187,19.2345,79,Aloe guest house,"Main Road, Overstrand Ward 3, Overstrand Local Municipality, 7200, South Africa"
Quellón,CL,-43.1167,-73.6167,83,Aliwen,"Juan Ladrillero, 579 0000 Quellón, Chile"
Lebu,CL,-37.6167,-73.65,82,name not found,address not found
Ramnagar,IN,29.4,79.1167,63,Hotel Corbett Kingdom,"NH309, Rāmnagar - 244715, Uttarakhand, India"
Asilah,MA,35.465,-6.0348,83,Hotel Las Palmas,"Avenue Iman Al-Assili, 90055 Asilah, Morocco"
Chamber,PK,25.2931,68.812,32,name not found,address not found
Ribeira Grande,PT,38.5167,-28.7,82,Hospedaria JSF,"Rua Antiga Canada do Porto Pim, 9900-038 Horta, Portugal"
Galveston,US,29.3669,-94.9669,32,Comfort Inn & Suites Texas City,"320 36th Street North, Texas City, TX 77590, United States of America"
Cologne,DE,50.9333,6.95,64,Wasserturm Hotel Cologne,"Kaygasse 2, 50676 Cologne, Germany"
Sungai Penuh,ID,-2.0833,101.3833,97,Hotel Matahari,"Jalan Jenderal Ahmad Yani, Sungai Penuh 37174, Jambi, Indonesia"
Māgadi,IN,12.9667,77.2333,85,Udupi Upahara,"SH85, Hosapete - 562120, Karnataka, India"
Jamestown,US,42.097,-79.2353,100,DoubleTree Jamestown,"150 West 4th Street, Jamestown, NY 14701, United States of America"
Minas de Marcona,PE,-15.2119,-75.1103,85,name not found,address not found
Beeville,US,28.4008,-97.7483,33,La Quinta by Wyndham,"2062 US 59, Beeville, TX 78102, United States of America"
Crowley,US,30.2141,-92.3746,60,name not found,address not found
Invercargill,NZ,-46.4,168.35,67,The Grand,"76 Dee Street, Avenal, Invercargill City 9810, New Zealand"
San Sebastián de La Gomera,ES,28.0916,-17.1133,54,Hotel Villa Gomera,"Calle Ruiz de Padrón, 68, 38800 San Sebastián de la Gomera, Spain"
Syra,GR,37.4423,24.9425,68,Παλλάδιον,"Stamatiou Proiou, 841 00 Ermoupoli, Greece"
Puerto Deseado,AR,-47.7503,-65.8938,56,Los Olmos,"Gobernador Gregores, Quinta Cadario, 9050 Puerto Deseado, Argentina"
Dunedin,NZ,-45.8742,170.5036,91,Scenic Hotel Dunedin City,"Princes Street, Dunedin Central, Dunedin 9054, New Zealand"
Biltine,TD,14.5333,20.9167,23,فندق ثلاث نجوم بلتن,"Abeche - Biltine National Road, Biltine, Chad"
Dakhla,EH,23.6848,-15.958,60,Hotel El Massira,"شارع المسجد, Dakhla, Morocco"
Vancleave,US,30.5405,-88.6875,77,name not found,address not found
Chonchi,CL,-42.6128,-73.8092,72,Hotel Huildín,"Centenario, Chonchi, Chile"
Nago,JP,26.5881,127.9761,72,グリーンリッチホテル,"National Highway Route 58, Nago, Gusuku 3-chome 905-8540, Japan"
Margaret River,AU,-33.95,115.0667,72,Margaret River Hotel,"125 Bussell Highway, Margaret River WA 6285, Australia"
Fada,NG,9.5667,8.3,27,name not found,address not found
Mistrató,CO,5.2973,-75.8832,98,Hotel Guntras,"Carrera 6, Mistrató, RIS, Colombia"
Tinajo,ES,29.0788,-13.7081,77,Villas Tinajo,"Calle Laja del Sol, 9, 35560 Tinajo, Spain"
Saurimo,AO,-9.6608,20.3916,99,Complexo Hoteleiro de Saurimo,"Rua da Liberdade, Saurimo, Angola"
East London,ZA,-33.0153,27.9116,85,name not found,"Quigney, East London, 5201, South Africa"
Itiruçu,BR,-13.5317,-40.1503,85,name not found,"Jaguaquara - BA, 45345-000, Brazil"
Dawei,MM,14.0833,98.2,67,Royal Dawei ဟိုတယ်,"Say Yone Road, Dawei, 14001, Myanmar"
Lompoc,US,34.6391,-120.4579,72,Embassy Suites by Hilton Lompoc Central Coast,"1117 North H Street, Lompoc, CA 93436, United States of America"
Howrah,IN,22.5892,88.3103,88,Sun India Guest House,"Grand Trunk Road, Howrah Maidan, Howrah - 711106, West Bengal, India"
Massakory,TD,12.996,15.7293,19,name not found,address not found
Gēdo,ET,9.0167,37.45,61,ጨሊያ ሆቴል,"Nekemte - Ambo Road, Gedo, Ethiopia"
Tura,IN,25.5198,90.2201,82,name not found,address not found
Al Mishkhāb,IQ,31.8042,44.4911,85,خال رسول,"Al Touli Street, Al-Hirah, Iraq"
Greymouth,NZ,-42.4667,171.2,65,Recreation Hotel,"High Street, Wharemoa, Greymouth 7085, New Zealand"
Malango,ID,-2.9627,119.9001,94,Madarana,"Jalan Andi Mappanyuki, Buntu Barana 91832, South Sulawesi, Indonesia"
Illizi,DZ,26.4833,8.4667,25,بوناقة,"شارع الأمير عبد القادر, 33000 Illizi, Algeria"
Brandon,US,27.9378,-82.2859,74,Brandon Motor Lodge,"906 East Brandon Boulevard, Brandon, FL 33511, United States of America"
Ancud,CL,-41.8697,-73.8203,74,Cabañas,"Federico Errázuriz, 130 0000 Ancud, Chile"
Verāval,IN,20.9,70.3667,41,Shyam,"ST Bus Stand Road, Veraval - 362200, Gujarat, India"
Salalah,OM,17.0151,54.0924,53,Muscat International Hotel,"23rd July Street, 999, Salalah, Dhofar Governorate, Oman"
Adler,RU,43.43,39.92,66,Shine,"Lenin Street 63, Adler, Sochi, Krasnodar Krai, Russia, 354340"
Al Ḩāmūl,EG,31.3115,31.1477,89,name not found,address not found
Douentza,ML,14.9951,-2.9517,12,name not found,address not found
Paso del Macho,MX,18.9667,-96.7167,87,name not found,address not found
Rāhuri,IN,19.3833,74.65,44,name not found,address not found
Kill Devil Hills,US,36.0307,-75.676,100,Mariner Days Inn & Suites,"North Virginia Dare Trail, Kill Devil Hills, NC 27948, United States of America"
Naze,JP,28.3667,129.4833,67,ビジネス旅館畠山,"屋仁川通り, Naze-Kanekucho, Amami, Japan"
Murzuk,LY,25.9155,13.9184,50,فندق باريس - مرزق,"ubari-murzuq, Murzuq, Libya"
Rāwah,IQ,34.4816,41.9093,61,name not found,address not found
Port Elizabeth,ZA,-33.918,25.5701,88,Waterford Hotel,"Durban Road, Nelson Mandela Bay Ward 11, Gqeberha, 7162, South Africa"
Jijiga,ET,9.35,42.8,57,Africa Hotel,"4, Jijiga, Ethiopia"
Broome,US,42.2506,-75.833,97,name not found,address not found
Huarmey,PE,-10.0681,-78.1522,83,Hostal Santa Rosa,"Avenida Aija, Huarmey, Peru"
Rāy,IN,23.6833,85.05,70,name not found,address not found
Castillos,UY,-34.1667,-53.8333,71,A mi gente,"Juan Antonio Lavalleja, 27200 Castillos, Uruguay"
Sidi Ifni,MA,29.3797,-10.173,41,Hotel Ére Nouvelle,"Avenue Al Adarissa, 85200 Sidi Ifni, Morocco"
