City_ID,City Name,City Lat,City Lon,Max Temp,Wind,Date,Humidity,Cloudiness,Description
0,Dalbandin,28.8947,64.4101,54.39,5.12,1703721543,32,0,clear sky
1,Adamstown,-25.066,-130.1015,72.91,17.29,1703721435,72,99,overcast clouds
2,Lata,40.1629,-8.3327,49.98,5.17,1703721544,85,100,overcast clouds
3,Grytviken,-54.2811,-36.5092,36.14,13.09,1703721441,97,100,light rain
4,Edinburgh of the Seven Seas,-37.0676,-12.3116,65.8,33.67,1703721166,93,100,overcast clouds
5,Waitangi,-43.9535,-176.5597,59.83,4.0,1703721545,65,74,broken clouds
6,Atafu Village,-8.5421,-172.5159,85.23,10.2,1703721512,72,100,overcast clouds
7,Noosa,-26.3833,153.15,87.12,7.0,1703721545,67,21,few clouds
8,Anadyr,64.75,177.4833,-18.89,6.13,1703721468,99,100,overcast clouds
9,Puerto Ayora,-0.7393,-90.3518,76.55,3.0,1703721465,93,97,overcast clouds
10,Port-aux-Français,-49.35,70.2167,44.83,8.12,1703721344,99,100,light rain
11,Longyearbyen,78.2186,15.6401,15.87,5.91,1703721443,88,100,overcast clouds
12,Udachny,66.4167,112.4,-37.35,2.33,1703721436,100,86,overcast clouds
13,Kruisfontein,-34.0033,24.7314,65.88,10.51,1703721548,88,99,overcast clouds
14,Ushuaia,-54.8,-68.3,38.86,40.29,1703721489,87,100,light rain
15,Port Augusta,-32.5,137.7667,88.63,6.8,1703721441,24,9,clear sky
16,Puerto Ayacucho,5.6639,-67.6236,78.21,4.09,1703721549,83,80,broken clouds
17,Puerto Natales,-51.7236,-72.4875,44.92,14.76,1703721165,71,63,broken clouds
18,Ghat,24.9647,10.1728,56.7,6.49,1703721550,38,54,broken clouds
19,Oulad Teïma,30.3947,-9.209,56.55,7.16,1703721550,41,0,clear sky
20,Melfort,52.8667,-104.6177,28.53,0.0,1703721550,64,2,clear sky
21,Ubari,26.5921,12.7805,53.92,6.64,1703721551,47,8,clear sky
22,La Tuque,47.4334,-72.7824,32.25,3.44,1703721552,86,100,overcast clouds
23,Yellowknife,62.456,-114.3525,16.32,13.8,1703721446,79,20,few clouds
24,Port Mathurin,-19.6833,63.4167,79.97,4.47,1703721472,77,94,overcast clouds
25,Tralee,52.2704,-9.7026,47.59,27.13,1703721553,81,78,broken clouds
26,Invercargill,-46.4,168.35,66.34,7.83,1703721486,58,8,clear sky
27,Carnarvon,-24.8667,113.6333,73.58,16.37,1703721553,60,32,scattered clouds
28,Port Blair,11.6667,92.75,80.67,13.29,1703721554,69,4,clear sky
29,Kingston,17.997,-76.7936,81.55,9.22,1703721243,98,75,broken clouds
30,Uturoa,-16.7333,-151.4333,80.49,13.0,1703721555,75,81,broken clouds
31,Isangel,-19.55,169.2667,86.11,11.5,1703721555,66,40,scattered clouds
32,Bilibino,68.0546,166.4372,-30.78,3.31,1703721555,100,100,overcast clouds
33,Punta Arenas,-53.15,-70.9167,48.11,21.59,1703721256,57,54,broken clouds
34,Ketchikan,55.3422,-131.6461,45.07,11.5,1703721556,76,100,light rain
35,Queenstown,-31.8976,26.8753,55.0,2.73,1703721557,91,96,overcast clouds
36,Worland,44.0169,-107.9554,32.45,0.0,1703721557,56,0,clear sky
37,Bethel,41.3712,-73.414,47.01,3.44,1703721365,87,100,mist
38,West Island,-12.1568,96.8225,80.58,8.05,1703721434,89,40,scattered clouds
39,Khanty-Mansiysk,61.0042,69.0019,21.31,6.71,1703721558,93,75,light shower snow
40,Selfoss,63.9331,-20.9971,21.54,15.43,1703721559,84,94,overcast clouds
41,Koné,-21.0595,164.8658,90.66,5.21,1703721559,49,21,few clouds
42,Wailua Homesteads,22.0669,-159.378,79.59,12.66,1703721559,65,0,clear sky
43,Vilyuchinsk,52.9306,158.4028,15.26,7.47,1703721560,92,100,light snow
44,Saint-Joseph,-21.3667,55.6167,75.22,5.61,1703721501,64,9,clear sky
45,Jenbach,47.4013,11.7406,32.29,6.17,1703721336,52,65,broken clouds
46,Guarujá,-23.9931,-46.2564,76.84,8.01,1703721562,26,74,broken clouds
47,Imbituba,-28.24,-48.6703,67.73,4.74,1703721562,75,1,clear sky
48,Subkhankulovo,54.5574,53.8115,18.9,2.66,1703721563,97,88,overcast clouds
49,Aasiaat,68.7098,-52.8699,5.38,2.26,1703721563,79,100,overcast clouds
50,Álamos,27.0167,-108.9333,69.19,4.76,1703721478,21,3,clear sky
51,Blackmans Bay,-43.0167,147.3167,67.53,6.73,1703721447,69,61,broken clouds
52,George Town,5.4112,100.3354,78.75,2.3,1703721448,89,20,few clouds
53,Shingū,33.7333,135.9833,48.88,3.13,1703721564,57,6,clear sky
54,Rongelap,11.1635,166.8941,81.41,17.0,1703721268,87,30,scattered clouds
55,Hamilton,39.1834,-84.5333,48.09,1.01,1703721490,70,0,clear sky
56,Mooirivier,-29.2082,29.9946,50.92,3.6,1703721565,98,95,overcast clouds
57,Tokār,18.4254,37.729,78.19,7.11,1703721566,83,27,light rain
58,Ilulissat,69.2167,-51.1,-2.49,3.56,1703721457,76,100,overcast clouds
59,Bay City,43.5945,-83.8889,43.12,8.05,1703721380,95,100,overcast clouds
60,Codrington,-38.2667,141.9667,62.67,8.28,1703721567,70,96,overcast clouds
61,Holualoa,19.6228,-155.9522,76.84,11.5,1703721490,78,40,scattered clouds
62,Wamba,8.9333,8.6,69.39,4.05,1703721568,26,44,scattered clouds
63,Talnakh,69.4865,88.3972,-14.53,5.1,1703721470,77,75,broken clouds
64,Tiruchirappalli,10.8167,78.6833,77.11,9.22,1703721569,83,75,mist
65,Stanley,54.868,-1.6985,42.82,12.66,1703721171,76,40,heavy intensity rain
66,Langepas,61.2544,75.2124,23.14,13.76,1703721569,94,100,overcast clouds
67,Yerofey Pavlovich,53.9667,121.9667,-18.13,2.15,1703721570,99,35,scattered clouds
68,Mariinsk,56.2139,87.7472,15.39,4.65,1703721570,87,100,overcast clouds
69,College,64.8569,-147.8028,-9.54,0.0,1703721482,77,20,few clouds
70,Ancud,-41.8697,-73.8203,59.32,2.64,1703721571,83,49,scattered clouds
71,Barclayville,4.6797,-8.2339,79.23,4.29,1703721572,87,52,broken clouds
72,Mumford,5.2618,-0.759,80.6,4.07,1703721572,85,27,scattered clouds
73,Brisas de Zicatela,15.8369,-97.0419,81.12,5.75,1703721572,74,100,overcast clouds
74,Port Alfred,-33.5906,26.891,62.19,7.0,1703721436,97,100,light rain
75,Papatowai,-46.5619,169.4708,64.99,10.47,1703721453,66,35,scattered clouds
76,Albany,42.6001,-73.9662,44.89,2.3,1703721340,90,100,overcast clouds
77,Carutapera,-1.195,-46.02,78.08,5.1,1703721574,92,100,moderate rain
78,eSikhaleni,-28.871,31.8996,63.32,3.2,1703721574,86,20,few clouds
79,Vila do Maio,15.1333,-23.2167,77.79,13.67,1703721575,77,69,broken clouds
80,Ust-Nera,64.5667,143.2,-42.61,2.21,1703721445,100,98,overcast clouds
81,Kapuskasing,49.4169,-82.4331,30.29,1.14,1703721477,86,100,overcast clouds
82,Ko Samui,9.5357,99.9357,81.55,9.69,1703721576,67,68,broken clouds
83,Jaca,42.569,-0.5499,41.5,4.07,1703721576,45,42,scattered clouds
84,Iqaluit,63.7506,-68.5145,3.27,12.48,1703721435,91,98,overcast clouds
85,Tromsø,69.6496,18.957,29.71,11.7,1703721577,94,95,light snow
86,Abu Dhabi,24.4667,54.3667,69.82,0.0,1703721435,83,0,clear sky
87,Shitanjing,39.2342,106.3439,21.25,5.28,1703721578,50,54,broken clouds
88,Isafjordur,66.0755,-23.124,17.33,11.92,1703721208,92,84,broken clouds
89,Palikir,6.9248,158.1611,86.74,6.91,1703721578,74,40,scattered clouds
90,Arraial do Cabo,-22.9661,-42.0278,75.42,4.16,1703721579,75,3,clear sky
91,Thompson,55.7435,-97.8558,22.1,6.76,1703721461,87,75,broken clouds
92,Myrina,39.8797,25.0742,59.85,6.87,1703721580,77,0,clear sky
93,Salekhard,66.53,66.6019,11.48,17.52,1703721580,95,100,overcast clouds
94,Lázaro Cárdenas,17.9583,-102.2,76.91,6.29,1703721392,70,51,broken clouds
95,Jamestown,42.097,-79.2353,51.39,4.61,1703721442,100,100,overcast clouds
96,Tiksi,71.6872,128.8694,-20.4,3.74,1703721438,100,100,overcast clouds
97,Port Elizabeth,-33.918,25.5701,68.09,17.27,1703721466,82,20,few clouds
98,Maasim,5.8575,125.0061,83.61,6.15,1703721582,70,15,few clouds
99,Cody,44.5263,-109.0565,34.65,1.99,1703721582,71,0,clear sky
100,Valparaíso,-33.0393,-71.6273,64.63,4.61,1703721483,77,0,clear sky
101,Bodaybo,57.8506,114.1933,-4.45,0.92,1703721583,98,100,overcast clouds
102,Yelizovo,53.1873,158.3805,15.12,1.99,1703721584,85,100,light snow
103,Newman,37.3138,-121.0208,61.03,4.76,1703721378,81,100,overcast clouds
104,Tocopilla,-22.092,-70.1979,69.49,4.36,1703721584,62,90,overcast clouds
105,Ust'-Ilimsk,58.0006,102.6619,0.45,3.18,1703721585,99,100,overcast clouds
106,Ribeira Grande,38.5167,-28.7,55.78,1.99,1703721497,77,53,broken clouds
107,Khandyga,62.6667,135.6,-52.15,0.89,1703721586,100,94,overcast clouds
108,Nemuro,43.3236,145.575,25.95,12.46,1703721475,65,42,scattered clouds
109,Bredasdorp,-34.5322,20.0403,66.02,17.96,1703721459,82,100,overcast clouds
110,Sawākin,19.1059,37.3321,76.51,11.88,1703721587,83,76,light rain
111,Grand-Bassam,5.2118,-3.7388,80.67,6.11,1703721587,88,14,few clouds
112,Oblivskaya,48.5362,42.5014,35.96,28.63,1703721587,72,87,overcast clouds
113,Moyynkum,44.2914,72.9469,35.73,7.81,1703721588,81,85,overcast clouds
114,Portland,45.5234,-122.6762,49.66,11.5,1703721344,84,100,overcast clouds
115,Rémire-Montjoly,4.9167,-52.2667,80.64,4.61,1703721588,89,0,clear sky
116,Mata-Utu,-13.2816,-176.1745,83.77,10.78,1703721589,78,94,overcast clouds
117,Quellón,-43.1167,-73.6167,57.04,8.39,1703721589,89,43,scattered clouds
118,Olonkinbyen,70.9221,-8.7187,33.24,24.92,1703721450,80,100,overcast clouds
119,Ad Dilam,23.9915,47.1627,64.81,5.7,1703721590,47,34,scattered clouds
120,Brookings,44.3114,-96.7984,33.19,4.0,1703721411,87,99,light snow
121,Puerto Baquerizo Moreno,-0.9,-89.6,75.6,9.06,1703721500,81,86,overcast clouds
122,Kill Devil Hills,36.0307,-75.676,62.6,6.91,1703721452,100,100,light intensity drizzle
