City_ID,City Name,City Lat,City Lon,Max Temp,Wind,Date,Humidity,Cloudiness,Description
0,Dalbandin,28.8947,64.4101,54.39,5.12,1703721543,32,0,clear sky
4,Edinburgh of the Seven Seas,-37.0676,-12.3116,65.8,33.67,1703721166,93,100,overcast clouds
5,Waitangi,-43.9535,-176.5597,59.83,4.0,1703721545,65,74,broken clouds
13,Kruisfontein,-34.0033,24.7314,65.88,10.51,1703721548,88,99,overcast clouds
18,Ghat,24.9647,10.1728,56.7,6.49,1703721550,38,54,broken clouds
19,Oulad Teïma,30.3947,-9.209,56.55,7.16,1703721550,41,0,clear sky
21,Ubari,26.5921,12.7805,53.92,6.64,1703721551,47,8,clear sky
26,Invercargill,-46.4,168.35,66.34,7.83,1703721486,58,8,clear sky
35,Queenstown,-31.8976,26.8753,55.0,2.73,1703721557,91,96,overcast clouds
47,Imbituba,-28.24,-48.6703,67.73,4.74,1703721562,75,1,clear sky
50,Álamos,27.0167,-108.9333,69.19,4.76,1703721478,21,3,clear sky
51,Blackmans Bay,-43.0167,147.3167,67.53,6.73,1703721447,69,61,broken clouds
56,Mooirivier,-29.2082,29.9946,50.92,3.6,1703721565,98,95,overcast clouds
60,Codrington,-38.2667,141.9667,62.67,8.28,1703721567,70,96,overcast clouds
62,Wamba,8.9333,8.6,69.39,4.05,1703721568,26,44,scattered clouds
70,Ancud,-41.8697,-73.8203,59.32,2.64,1703721571,83,49,scattered clouds
74,Port Alfred,-33.5906,26.891,62.19,7.0,1703721436,97,100,light rain
75,Papatowai,-46.5619,169.4708,64.99,10.47,1703721453,66,35,scattered clouds
78,eSikhaleni,-28.871,31.8996,63.32,3.2,1703721574,86,20,few clouds
86,Abu Dhabi,24.4667,54.3667,69.82,0.0,1703721435,83,0,clear sky
92,Myrina,39.8797,25.0742,59.85,6.87,1703721580,77,0,clear sky
95,Jamestown,42.097,-79.2353,51.39,4.61,1703721442,100,100,overcast clouds
97,Port Elizabeth,-33.918,25.5701,68.09,17.27,1703721466,82,20,few clouds
100,Valparaíso,-33.0393,-71.6273,64.63,4.61,1703721483,77,0,clear sky
103,Newman,37.3138,-121.0208,61.03,4.76,1703721378,81,100,overcast clouds
104,Tocopilla,-22.092,-70.1979,69.49,4.36,1703721584,62,90,overcast clouds
106,Ribeira Grande,38.5167,-28.7,55.78,1.99,1703721497,77,53,broken clouds
109,Bredasdorp,-34.5322,20.0403,66.02,17.96,1703721459,82,100,overcast clouds
